id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist,,,,,,,,,,,,
2cQ9D0cQjUJmLs8rWFkcRH,0.57,0.731,11,-4.816,1,0.407,0.019,0,0.1369999999999999,0.644,169.002,Beyonce,,,,,,,,,,,,
2Z71PZlOeF9YVze4hy1A1a,0.753,0.745,10,-4.776,0,0.3339999999999999,0.0159,0,0.127,0.635,169.02,Beyonce,,,,,,,,,,,,
1fgvJXlcZ7uIddMpqsqw0L,0.7859999999999999,0.8420000000000001,4,-5.115,0,0.0707,0.00305,3.54e-06,0.473,0.685,97.577,Jennifer Lopez,,,,,,,,,,,,
3tnxGMetnz5YVivUWJJ8ay,0.875,0.843,7,-3.772,1,0.0368,0.00469,0.00381,0.106,0.733,110.792,Jennifer Lopez,,,,,,,,,,,,
7fFCnttacpotkyhTOxKv14,0.775,0.7290000000000001,1,-4.229,0,0.162,0.0303,0.00247,0.0361,0.895,104.719,Jennifer Lopez,,,,,,,,,,,,
6BqemgZaWt7VQxCU7dHrcj,0.652,0.895,1,-5.318,1,0.0451,0.0443,0.000281,0.195,0.624,143.77700000000004,Jennifer Lopez,,,,,,,,,,,,
6J8vBmsokURohC3UygqYOH,0.711,0.87,0,-4.513,0,0.0484,0.0804,0.000306,0.138,0.569,99.843,Jennifer Lopez,,,,,,,,,,,,
57Coopi4KriNAIdBzCOVY1,0.7909999999999999,0.951,10,-4.118,0,0.0273,0.106,0.0534,0.0454,0.893,115.784,Jennifer Lopez,,,,,,,,,,,,
11y6pGsIo9BbsotNAGHjO9,0.6629999999999999,0.4629999999999999,8,-10.031,0,0.045,0.223,1.51e-05,0.0717,0.591,127.776,Jennifer Lopez,,,,,,,,,,,,
3HsrcX8pSr7NCxYhfrtczZ,0.7829999999999999,0.8959999999999999,5,-3.942,1,0.0892,0.0253,0.00047,0.1119999999999999,0.841,132.688,Jennifer Lopez,,,,,,,,,,,,
7BY7e8RE2XPFfZ7qnB2mSb,0.609,0.845,4,-5.612,0,0.0824,0.0311,0.0002,0.0931,0.204,138.833,Jennifer Lopez,,,,,,,,,,,,
0Grh6sxPOqDOVJyTJV3sVg,0.809,0.818,1,-3.432,0,0.0373,0.0334,0.00264,0.196,0.632,109.821,Jennifer Lopez,,,,,,,,,,,,
