id,artist,latent_0,latent_1,latent_2,latent_3,latent_4
2cQ9D0cQjUJmLs8rWFkcRH,Beyonce,0.011806434,0.14820501,-0.776946,-0.17412311,0.72634953
2Z71PZlOeF9YVze4hy1A1a,Beyonce,2.0376997,0.7778279,0.17815532,-1.63002,-0.0971536
1fgvJXlcZ7uIddMpqsqw0L,Jennifer Lopez,-1.5822196,-0.5027613,-0.6835337,0.41898945,1.6461123
3tnxGMetnz5YVivUWJJ8ay,Jennifer Lopez,0.4910342,1.0270188,1.3649635,-0.9038762,0.9138344
7fFCnttacpotkyhTOxKv14,Jennifer Lopez,-0.6061178,0.3828331,0.5795841,-0.57169205,0.45048866
6BqemgZaWt7VQxCU7dHrcj,Jennifer Lopez,-0.42298606,-0.9905584,0.88932407,0.8965811,-1.3089429
6J8vBmsokURohC3UygqYOH,Jennifer Lopez,0.22459038,0.35069484,-0.28095955,1.87519,-0.36277813
57Coopi4KriNAIdBzCOVY1,Jennifer Lopez,0.49991596,-0.20244095,-0.612318,0.6188303,0.47400823
11y6pGsIo9BbsotNAGHjO9,Jennifer Lopez,-0.6891839,-0.15093413,-0.28232932,-0.06538251,0.72929084
3HsrcX8pSr7NCxYhfrtczZ,Jennifer Lopez,1.0890372,-0.90408474,-0.5509328,-0.5368706,0.5973257
7BY7e8RE2XPFfZ7qnB2mSb,Jennifer Lopez,0.94857204,-0.8351922,-0.91296583,0.8186086,-2.0316253
0Grh6sxPOqDOVJyTJV3sVg,Jennifer Lopez,-0.04565202,-0.73380756,-2.0167384,-0.7358457,0.637353
55KiH7trhaYSrS2HNtDVr0,Jennifer Lopez,0.865557,-1.5777857,-0.072354205,-0.75414366,-0.9017956
3mpLAhFWyJY2TZKCfTMqAP,Jennifer Lopez,-1.227188,0.7300744,0.30408174,0.113896675,-0.121148765
2DVKtgf415MQv7OOXwVec9,Jennifer Lopez,0.7520851,0.00090101955,-0.10333947,-0.37023193,-0.21235791
46EfzGWwD2qoRygDaUZW8H,Jennifer Lopez,-0.7374874,0.60118175,-1.6094904,1.721242,1.1870884
24fceNrU1e44FgNHctytQ7,Jennifer Lopez,0.64627016,-0.40728122,-0.7081473,-1.2121738,-1.5512136
6MLsahMK3VvH9NUwXOktdS,Jennifer Lopez,-0.098453216,-0.55389285,0.67710257,0.64306086,0.09894696
1JjKZ4Pkb1MMTx8geLJ5tu,Britney Spears,0.3927853,0.07038881,-0.82724667,-1.2393273,-0.5837137
0x3PS7x7NUf562yTKon8bv,Britney Spears,0.988803,-0.6692275,-0.6658808,0.6300214,0.8539556
0zuEN0kIVIhnqLpJyMDYbY,Britney Spears,-0.8543406,-1.0208349,0.9824632,-0.4391274,0.24314687
4hLvgVsLrwkvuMn1lVxlZw,Britney Spears,-1.9370338,-1.4729922,1.0774946,-1.7019603,1.2369803
2TxLSV0AqZTYQQL9QCX0D4,Britney Spears,-0.48388717,-2.720075,-0.6628575,-0.88432145,-1.2102331
717TY4sfgKQm4kFbYQIzgo,Britney Spears,-0.5996627,-0.85844594,-1.0384824,0.38971487,-0.009731549
1ilzpYN1gwl9drj2M5Ik60,Britney Spears,1.5158083,1.1105559,1.2366816,-0.6548814,-2.681097
6btHdKjLcF97GoGtO0My7F,Britney Spears,0.30592063,-0.14700605,1.009434,1.738705,0.4599988
7peLtNQr88aQm6Vy3Heb50,Britney Spears,0.6518196,0.27416688,-0.36068645,1.1367428,0.6560623
3ylXITb3mP862AahYS7Yz9,Britney Spears,0.35073587,-0.3748502,0.20293674,0.41277906,-1.427286
5SGaMw1Xj2LohN5SwVKMbx,Britney Spears,-0.5705373,0.72345144,1.4013631,1.1411778,-0.66883934
7EFVJfuaqhIIvzNHZpEpth,Britney Spears,-1.0370673,-1.8834151,-0.11894634,0.9146656,1.3619353
6wJB7DTMIJAZuQ0vPLr8H9,Britney Spears,0.43077567,-0.27973107,0.17631876,-0.46935073,-0.6526071
4FNjramiHyil63p2rtH5Vt,Britney Spears,-0.49308565,-0.555001,0.93614775,1.0420246,-1.0377085
6D1BT7ESiQnGOFDl8FHJbp,Britney Spears,1.476188,-1.2699959,-1.3708565,0.29421747,0.8234706
2w0GVsQiQ3C5xK07qLgGdn,Britney Spears,-0.12866347,0.80445355,-1.5919675,1.173322,0.6035406
4cHUfCT3yetKajxWKLhDlT,Britney Spears,-1.2841986,1.124568,0.41062006,-0.11280855,1.2196556
2A5wsFh5CsplWQN8pj7obL,Britney Spears,-0.1013817,-1.0028685,-0.72206295,-0.73661697,0.44351164
5CoAruUboeDMis1J7sacjp,Britney Spears,0.5487541,-0.27044162,1.1880897,1.3182935,-1.9859614
28PZfywHz6pa2xlk58GyNf,Britney Spears,-1.2661102,-1.9985651,0.68468887,0.9570509,0.2861027
01ACsk2knUnsfWeZp63nqa,Britney Spears,2.3537319,-0.16351603,-1.4557694,1.0803696,0.530821
7rAPzNh1CiUKIQwpDsHs1l,Britney Spears,1.016237,-0.71370643,0.67149055,0.11165658,-1.564988
2a0pbMoFSftTjwfQKW7d3j,Britney Spears,-0.7062772,0.90395564,1.3434297,0.5249905,-0.00083003123
6riVbBIhg1OIgLLheLRwgO,Britney Spears,0.22229102,0.005753044,0.30743566,-0.59073055,0.887814
3160LwahuydbNkDvbN6rPM,Britney Spears,1.0767001,0.44860464,-0.35568756,0.48713672,-0.8112487
3s8g8yM5RxMAckOtPWzssB,Britney Spears,0.700287,-0.8360354,-0.4846257,-1.7845349,-0.57459784
6ldwfK0yWgTAlmIfuQkTYN,Britney Spears,2.6573668,-1.4173324,-0.90125614,0.21308193,0.7962265
5p0KCAuu5nrHpTuAIhHdLw,Britney Spears,-0.527191,1.594894,-0.64539057,-0.6234125,-0.74513954
6hlpPqTRqUZI2B4TCOycDf,Britney Spears,2.140618,-1.5091968,-0.35924914,-1.0980037,-1.5909863
1xg1yGPy1Y3YUf44s6TB1o,Britney Spears,0.20810944,1.5865952,0.3332074,0.8976214,-0.3402566
4rIz1mOBHqIo6Mk7DzuoPs,Britney Spears,-0.5812345,-1.505513,-0.21636917,-1.0558994,-0.8379909
6dKYAtGciLRm8uOD1LiSVf,Britney Spears,-2.2660499,-1.0986577,-0.46490207,1.3686379,0.82252777
29viePXNqWUw1cxqzOcuOD,Britney Spears,-0.11390389,-1.853765,0.5931288,1.9372742,1.0321378
4PoTu14Wi2o9l0Rb09gBCa,Britney Spears,-0.5478308,-1.2753012,2.9492052,-0.6034295,0.55636567
0FaBorty7hr1lpyzXSRPEf,Britney Spears,1.0817231,0.9223477,0.36456794,0.26057485,1.8203726
5FFFvpCMxIWtTF7DmUBBIs,Britney Spears,-0.21018232,0.8216555,-1.5042312,0.25972208,-0.8297961
4p701COQh5KvaP4zvqnx8F,Britney Spears,-1.8212377,0.52583396,1.6406974,-0.0039202957,-0.8561427
6fA0t8bkZ4taxr86QkokWJ,Britney Spears,-0.94998056,1.6166843,1.6199335,-1.2038447,1.6394098
7zs5aog6tlIeniHcnoB0HJ,Britney Spears,-0.020571496,2.4446146,-0.649516,0.6865979,-0.11738665
1dVOsIMGb0eqoqslLLlbxM,Britney Spears,0.3568311,1.2651185,0.4883364,-0.93990016,-0.084048465
